id	original_id	source_page	question
kubernetes-train-manualv2-01158	kubernetes-train-manualv2-01158	contribute_generate-ref-docs_contribute-upstream	When backporting an upstream doc-generation fix to a release branch, which commit should be cherry-picked first?
kubernetes-train-manualv2-01159	kubernetes-train-manualv2-01159	contribute_generate-ref-docs_contribute-upstream	What file from kubernetes/kubernetes is the OpenAPI input for generating published API reference docs?
kubernetes-train-manualv2-01160	kubernetes-train-manualv2-01160	contribute_generate-ref-docs_metrics-reference	Where does metrics documentation generation happen according to the metrics reference page?
kubernetes-train-manualv2-01161	kubernetes-train-manualv2-01161	contribute_generate-ref-docs_metrics-reference	What script generates the metrics documentation?
kubernetes-train-manualv2-01162	kubernetes-train-manualv2-01162	contribute_generate-ref-docs_metrics-reference	Which generated files are mentioned after running the metrics documentation script?
kubernetes-train-manualv2-01163	kubernetes-train-manualv2-01163	contribute_generate-ref-docs_metrics-reference	Where should the generated metrics markdown be copied in the website repository?
kubernetes-train-manualv2-01164	kubernetes-train-manualv2-01164	contribute_generate-ref-docs_kubectl	Which operating systems are supported for generating kubectl reference documentation?
kubernetes-train-manualv2-01165	kubernetes-train-manualv2-01165	contribute_generate-ref-docs_kubectl	Which extra tool is listed as required only for kubectl command reference generation?
kubernetes-train-manualv2-01166	kubernetes-train-manualv2-01166	contribute_generate-ref-docs_kubectl	Which repositories does the kubectl reference-doc setup clone or fetch in addition to reference-docs?
kubernetes-train-manualv2-01167	kubernetes-train-manualv2-01167	contribute_generate-ref-docs_kubectl	If you want to change kubectl reference documentation, where do you make the first change?
kubernetes-train-manualv2-01168	kubernetes-train-manualv2-01168	contribute_generate-ref-docs_kubectl	Into which branch should the initial kubectl source-code documentation fix be submitted?
kubernetes-train-manualv2-01169	kubernetes-train-manualv2-01169	contribute_generate-ref-docs_kubectl	If you want the kubectl docs change to appear in an already released version, what do you need to do?
kubernetes-train-manualv2-01170	kubernetes-train-manualv2-01170	contribute_generate-ref-docs_kubectl	Which environment variables must be set before building kubectl reference docs?
kubernetes-train-manualv2-01171	kubernetes-train-manualv2-01171	contribute_generate-ref-docs_kubectl	What build target creates the versioned directory for kubectl reference docs?
kubernetes-train-manualv2-01172	kubernetes-train-manualv2-01172	contribute_generate-ref-docs_kubectl	What versioned directory naming pattern is used for kubectl reference docs?
kubernetes-train-manualv2-01173	kubernetes-train-manualv2-01173	contribute_generate-ref-docs_kubectl	What build target generates and copies the kubectl command reference into the website repo?
kubernetes-train-manualv2-01174	kubernetes-train-manualv2-01174	contribute_generate-ref-docs_kubectl	Which two generated files are explicitly checked after kubectl doc generation?
kubernetes-train-manualv2-01175	kubernetes-train-manualv2-01175	contribute_generate-ref-docs_kubectl	Which two website files should definitely appear as modified after copying generated kubectl docs?
kubernetes-train-manualv2-01176	kubernetes-train-manualv2-01176	contribute_generate-ref-docs_kubectl	How does the kubectl reference-doc guide tell you to locally test the documentation website?
kubernetes-train-manualv2-01177	kubernetes-train-manualv2-01177	contribute_generate-ref-docs_kubectl	After generating and copying kubectl docs, what repository should the pull request target?
kubernetes-train-manualv2-01178	kubernetes-train-manualv2-01178	contribute_new-content	What format and site generator does Kubernetes documentation use?
kubernetes-train-manualv2-01179	kubernetes-train-manualv2-01179	contribute_new-content	What Markdown flavor does Kubernetes documentation use?
kubernetes-train-manualv2-01180	kubernetes-train-manualv2-01180	contribute_new-content	Where is the English documentation source stored in the website repository?
kubernetes-train-manualv2-01181	kubernetes-train-manualv2-01181	contribute_new-content	What agreement must all Kubernetes contributors sign before contributing docs?
kubernetes-train-manualv2-01182	kubernetes-train-manualv2-01182	contribute_new-content	Which branch should be used for existing or new English-language content for the current release?
kubernetes-train-manualv2-01183	kubernetes-train-manualv2-01183	contribute_new-content	Which branch pattern is used for docs about a feature change release?
kubernetes-train-manualv2-01184	kubernetes-train-manualv2-01184	contribute_new-content	How many languages should a docs PR normally cover?
kubernetes-train-manualv2-01185	kubernetes-train-manualv2-01185	contribute_new-content_case-studies	Who collaborates with organizations on Kubernetes case studies?
kubernetes-train-manualv2-01186	kubernetes-train-manualv2-01186	contribute_new-content_case-studies	Do Kubernetes case studies require extensive review before approval?
kubernetes-train-manualv2-01187	kubernetes-train-manualv2-01187	contribute_new-content_new-features	Do documentation contributors usually write release feature docs from scratch?
kubernetes-train-manualv2-01188	kubernetes-train-manualv2-01188	contribute_new-content_new-features	Where can contributors ask about documenting an upcoming feature for a release?
kubernetes-train-manualv2-01189	kubernetes-train-manualv2-01189	contribute_new-content_new-features	Where can you learn about upcoming Kubernetes release features?
kubernetes-train-manualv2-01190	kubernetes-train-manualv2-01190	contribute_new-content_new-features	What does the feature tracking sheet list for each planned feature?
kubernetes-train-manualv2-01191	kubernetes-train-manualv2-01191	contribute_new-content_new-features	Which feature stability levels are generally higher documentation priority?
kubernetes-train-manualv2-01192	kubernetes-train-manualv2-01192	contribute_new-content_new-features	What should SIG members do first for a feature that needs documentation in a release?
kubernetes-train-manualv2-01193	kubernetes-train-manualv2-01193	contribute_new-content_new-features	What can happen if a feature needs documentation but no docs PR is created?
kubernetes-train-manualv2-01194	kubernetes-train-manualv2-01194	contribute_new-content_new-features	If an Alpha or Beta feature is behind a feature gate, where must its feature gate description file live?
kubernetes-train-manualv2-01195	kubernetes-train-manualv2-01195	contribute_new-content_new-features	What front matter field marks a removed feature gate description?
kubernetes-train-manualv2-01196	kubernetes-train-manualv2-01196	contribute_new-content_open-a-pr	If your change is small or you are unfamiliar with git, what simpler PR workflow page should you read?
kubernetes-train-manualv2-01197	kubernetes-train-manualv2-01197	contribute_new-content_open-a-pr	What does the open-a-pr guide say not to use in commit messages?
kubernetes-train-manualv2-01198	kubernetes-train-manualv2-01198	contribute_new-content_open-a-pr	How often should you reach out if you are waiting on a reviewer for a docs PR?
kubernetes-train-manualv2-01199	kubernetes-train-manualv2-01199	contribute_new-content_open-a-pr	What remote should your local website fork add to track the main repository?
kubernetes-train-manualv2-01200	kubernetes-train-manualv2-01200	contribute_new-content_open-a-pr	What branch should improvements to existing content usually be based on?
kubernetes-train-manualv2-01201	kubernetes-train-manualv2-01201	contribute_new-content_open-a-pr	Where should you include Fixes #12345 or Closes #12345 when opening a PR?
kubernetes-train-manualv2-01202	kubernetes-train-manualv2-01202	contribute_new-content_open-a-pr	What service provides a staged preview for website pull requests after automated tests run?
kubernetes-train-manualv2-01203	kubernetes-train-manualv2-01203	contribute_new-content_open-a-pr	What should you generally do if your PR has multiple commits before merge?
kubernetes-train-manualv2-01204	kubernetes-train-manualv2-01204	contribute_new-content_preview-locally	Why is previewing changes locally recommended before opening a PR?
kubernetes-train-manualv2-01205	kubernetes-train-manualv2-01205	contribute_new-content_preview-locally	What are the two main ways the preview-locally guide offers to preview the website?
kubernetes-train-manualv2-01206	kubernetes-train-manualv2-01206	contribute_new-content_preview-locally	Which make target initializes submodule dependencies for the website locally?
kubernetes-train-manualv2-01207	kubernetes-train-manualv2-01207	contribute_new-content_preview-locally	Which make target starts Hugo in a container for local preview?
kubernetes-train-manualv2-01208	kubernetes-train-manualv2-01208	contribute_new-content_preview-locally	Which local URL is used for previewing the website?
kubernetes-train-manualv2-01209	kubernetes-train-manualv2-01209	contribute_new-content_preview-locally	What Hugo edition does the Kubernetes website require?
kubernetes-train-manualv2-01210	kubernetes-train-manualv2-01210	contribute_new-content_preview-locally	If make container-serve cannot find the website Hugo image locally because the image hash changed, what should you do?
kubernetes-train-manualv2-01211	kubernetes-train-manualv2-01211	contribute_participate	What is SIG Docs responsible for within the Kubernetes project?
kubernetes-train-manualv2-01212	kubernetes-train-manualv2-01212	contribute_participate	Who can open a pull request or file issues in SIG Docs?
kubernetes-train-manualv2-01213	kubernetes-train-manualv2-01213	contribute_participate	Which SIG Docs roles require greater access and responsibilities for approving and committing changes?
kubernetes-train-manualv2-01214	kubernetes-train-manualv2-01214	contribute_participate	What are SIG Docs chairpersons?
kubernetes-train-manualv2-01215	kubernetes-train-manualv2-01215	contribute_participate	What two automation mechanisms does SIG Docs rely on?
kubernetes-train-manualv2-01216	kubernetes-train-manualv2-01216	contribute_participate	What do the GitHub teams @sig-docs-{language}-owners and @sig-docs-{language}-reviews represent?
kubernetes-train-manualv2-01217	kubernetes-train-manualv2-01217	contribute_participate	Which two prow plugins are specifically mentioned for the website repository?
kubernetes-train-manualv2-01218	kubernetes-train-manualv2-01218	contribute_participate	What can individual Markdown front matter contribute to SIG Docs review automation?
kubernetes-train-manualv2-01219	kubernetes-train-manualv2-01219	contribute_participate	When does content get published to kubernetes.io from SIG Docs?
kubernetes-train-manualv2-01220	kubernetes-train-manualv2-01220	contribute_participate	What conditions allow a docs PR to merge automatically?
kubernetes-train-manualv2-01221	kubernetes-train-manualv2-01221	contribute_participate	Who can add the lgtm label to a PR using a comment?
kubernetes-train-manualv2-01222	kubernetes-train-manualv2-01222	contribute_participate	Who can merge a docs PR by adding /approve?
kubernetes-train-manualv2-01223	kubernetes-train-manualv2-01223	contribute_review	What does the Reviewing changes section describe?
kubernetes-train-manualv2-01224	kubernetes-train-manualv2-01224	contribute_review_for-approvers	Who is the PR Wrangler in SIG Docs?
kubernetes-train-manualv2-01225	kubernetes-train-manualv2-01225	contribute_review_for-approvers	How are reviewers and approvers assigned to a docs PR in addition to the PR Wrangler rotation?
kubernetes-train-manualv2-01226	kubernetes-train-manualv2-01226	contribute_review_for-approvers	Which Prow command can reviewers or approvers use to assign a specific reviewer to a PR?
kubernetes-train-manualv2-01227	kubernetes-train-manualv2-01227	contribute_review_for-approvers	What should reviewers and approvers check besides the general PR review guidance?
kubernetes-train-manualv2-01228	kubernetes-train-manualv2-01228	contribute_review_for-approvers	When should you avoid committing directly into another person's PR?
kubernetes-train-manualv2-01229	kubernetes-train-manualv2-01229	contribute_review_for-approvers	What are the most common Prow commands listed for reviewers and approvers?
kubernetes-train-manualv2-01230	kubernetes-train-manualv2-01230	contribute_review_for-approvers	What label should you add if an issue lacks enough information to act on it?
kubernetes-train-manualv2-01231	kubernetes-train-manualv2-01231	contribute_review_for-approvers	What issue label is automatically added after 90 days with no activity?
kubernetes-train-manualv2-01232	kubernetes-train-manualv2-01232	contribute_review_for-approvers	What label keeps an issue from becoming stale after 90 days of inactivity?
kubernetes-train-manualv2-01233	kubernetes-train-manualv2-01233	contribute_review_for-approvers	How should duplicate issues be handled?
kubernetes-train-manualv2-01234	kubernetes-train-manualv2-01234	contribute_review_for-approvers	How should docs issues that are really support requests usually be handled?
kubernetes-train-manualv2-01235	kubernetes-train-manualv2-01235	contribute_review_for-approvers	When should approvers avoid squashing commits?
kubernetes-train-manualv2-01236	kubernetes-train-manualv2-01236	contribute_review_reviewing-prs	What is the simplest way for a reviewer to start helping with docs PRs?
kubernetes-train-manualv2-01237	kubernetes-train-manualv2-01237	contribute_review_reviewing-prs	Which labels are recommended for filtering docs PRs before reviewing?
kubernetes-train-manualv2-01238	kubernetes-train-manualv2-01238	contribute_review_reviewing-prs	What preview system should reviewers inspect to see rendered website changes?
kubernetes-train-manualv2-01239	kubernetes-train-manualv2-01239	contribute_review_reviewing-prs	Which GitHub review action does the reviewing guide explicitly say to always use?
kubernetes-train-manualv2-01240	kubernetes-train-manualv2-01240	contribute_review_reviewing-prs	How should a reviewer block merging if further changes are needed?
kubernetes-train-manualv2-01241	kubernetes-train-manualv2-01241	contribute_style	What topics does the documentation style overview section cover?
kubernetes-train-manualv2-01242	kubernetes-train-manualv2-01242	contribute_style_content-organization	What core site concept does the content organization page highlight about Hugo?
kubernetes-train-manualv2-01243	kubernetes-train-manualv2-01243	contribute_style_content-organization	How does Hugo's default sort order organize pages in the docs side menu?
kubernetes-train-manualv2-01244	kubernetes-train-manualv2-01244	contribute_style_content-organization	Which front matter flag adds a docs section to the Documentation main menu?
kubernetes-train-manualv2-01245	kubernetes-train-manualv2-01245	contribute_style_content-organization	Which front matter flag hides a section or page from the documentation side menu?
kubernetes-train-manualv2-01246	kubernetes-train-manualv2-01246	contribute_style_content-organization	What is a Hugo leaf bundle according to the content organization page?
kubernetes-train-manualv2-01247	kubernetes-train-manualv2-01247	contribute_style_content-organization	What front matter setting makes an includes bundle headless in Hugo?
kubernetes-train-manualv2-01248	kubernetes-train-manualv2-01248	contribute_style_content-organization	Where are the SASS source files for the site stylesheets stored?
kubernetes-train-manualv2-01249	kubernetes-train-manualv2-01249	contribute_style_hugo-shortcodes_index	What does the feature-state shortcode display?
kubernetes-train-manualv2-01250	kubernetes-train-manualv2-01250	contribute_style_hugo-shortcodes_index	Which feature-state values are valid in the shortcode?
kubernetes-train-manualv2-01251	kubernetes-train-manualv2-01251	contribute_style_hugo-shortcodes_index	Which shortcode parameter overrides the displayed Kubernetes version in feature-state?
kubernetes-train-manualv2-01252	kubernetes-train-manualv2-01252	contribute_style_hugo-shortcodes_index	Which shortcode parameter tells feature-state to pull data from a feature gate description file?
kubernetes-train-manualv2-01253	kubernetes-train-manualv2-01253	contribute_style_hugo-shortcodes_index	What do the glossary shortcodes allow authors to reuse?
kubernetes-train-manualv2-01254	kubernetes-train-manualv2-01254	contribute_style_hugo-shortcodes_index	Where is the raw glossary data stored for glossary shortcodes?
kubernetes-train-manualv2-01255	kubernetes-train-manualv2-01255	contribute_style_hugo-shortcodes_index	What does the api-reference shortcode link to?
kubernetes-train-manualv2-01256	kubernetes-train-manualv2-01256	contribute_style_hugo-shortcodes_index	Why does the table shortcode support a caption parameter?
kubernetes-train-manualv2-01257	kubernetes-train-manualv2-01257	contribute_style_hugo-shortcodes_index	What named parameter controls the displayed tab label in the tabs shortcode?
kubernetes-train-manualv2-01258	kubernetes-train-manualv2-01258	contribute_style_hugo-shortcodes_index	What does the code_sample shortcode do?
kubernetes-train-manualv2-01259	kubernetes-train-manualv2-01259	contribute_style_page-content-types	What are the main content types described in the page-content-types guide?
kubernetes-train-manualv2-01260	kubernetes-train-manualv2-01260	contribute_style_page-content-types	What is the purpose of a concept page?
kubernetes-train-manualv2-01261	kubernetes-train-manualv2-01261	contribute_style_page-content-types	What sections does a concept page usually contain?
kubernetes-train-manualv2-01262	kubernetes-train-manualv2-01262	contribute_style_page-content-types	What is the purpose of a task page?
kubernetes-train-manualv2-01263	kubernetes-train-manualv2-01263	contribute_style_page-content-types	What sections does a task page usually contain?
kubernetes-train-manualv2-01264	kubernetes-train-manualv2-01264	contribute_style_page-content-types	What is the purpose of a tutorial page?
kubernetes-train-manualv2-01265	kubernetes-train-manualv2-01265	contribute_style_page-content-types	What section should a tutorial use for post-exercise cleanup instructions?
kubernetes-train-manualv2-01266	kubernetes-train-manualv2-01266	contribute_style_page-content-types	What does a component tool reference page mainly show?
kubernetes-train-manualv2-01267	kubernetes-train-manualv2-01267	home	How does the Kubernetes docs home page describe Kubernetes in one sentence?
kubernetes-train-manualv2-01268	kubernetes-train-manualv2-01268	home	Which foundation hosts the Kubernetes open source project?
kubernetes-train-manualv2-01269	kubernetes-train-manualv2-01269	home	Which section on the docs home page groups links like Why Kubernetes, cluster components, and the API?
kubernetes-train-manualv2-01270	kubernetes-train-manualv2-01270	home	Which section on the docs home page contains tutorials such as Hello Minikube and Walkthrough the basics?
kubernetes-train-manualv2-01271	kubernetes-train-manualv2-01271	home	Which section on the docs home page includes install topics, metrics, logs, traces, and securing a cluster?
kubernetes-train-manualv2-01272	kubernetes-train-manualv2-01272	home	Which section on the docs home page points users to common step-by-step tasks?
kubernetes-train-manualv2-01273	kubernetes-train-manualv2-01273	home	Which section on the docs home page points users to the glossary, kubectl docs, API reference, and feature gates?
kubernetes-train-manualv2-01274	kubernetes-train-manualv2-01274	home	Which contribution-oriented links are explicitly listed from the docs home page?
kubernetes-train-manualv2-01275	kubernetes-train-manualv2-01275	home	How many Kubernetes versions does the documentation site say it contains?
kubernetes-train-manualv2-01276	kubernetes-train-manualv2-01276	kubernetes_docs_home	What does the duplicated kubernetes_docs_home page describe Kubernetes as?
kubernetes-train-manualv2-01277	kubernetes-train-manualv2-01277	kubernetes_docs_home	What foundation does the duplicated kubernetes_docs_home page say hosts the project?
kubernetes-eval-manualv2-0483	kubernetes-eval-manualv2-0483	contribute_style_diagram-guide	What library does the Diagram Guide use for creating diagrams?
kubernetes-eval-manualv2-0484	kubernetes-eval-manualv2-0484	contribute_style_diagram-guide	What syntax does Mermaid use inside Markdown files?
kubernetes-eval-manualv2-0485	kubernetes-eval-manualv2-0485	contribute_style_diagram-guide	What kinds of image files can Mermaid generate for documentation?
kubernetes-eval-manualv2-0486	kubernetes-eval-manualv2-0486	contribute_style_diagram-guide	What web-based tool does Mermaid provide for diagrams?
kubernetes-eval-manualv2-0487	kubernetes-eval-manualv2-0487	contribute_style_diagram-guide	What does the Mermaid live editor generate for each saved diagram?
kubernetes-eval-manualv2-0488	kubernetes-eval-manualv2-0488	contribute_style_diagram-guide	How does Hugo handle inline Mermaid code in Markdown?
kubernetes-eval-manualv2-0489	kubernetes-eval-manualv2-0489	contribute_style_diagram-guide	What should you use to reference an SVG diagram in Markdown with the Mermaid+SVG method?
kubernetes-eval-manualv2-0490	kubernetes-eval-manualv2-0490	contribute_style_diagram-guide	What should you add to an SVG image file when using the Mermaid+SVG method?
kubernetes-eval-manualv2-0491	kubernetes-eval-manualv2-0491	contribute_style_diagram-guide	What does classDef do in Mermaid styling?
kubernetes-eval-manualv2-0492	kubernetes-eval-manualv2-0492	contribute_style_diagram-guide	What are captions in the Diagram Guide meant to do?
kubernetes-eval-manualv2-0493	kubernetes-eval-manualv2-0493	contribute_style_diagram-guide	Where should a diagram caption be positioned?
kubernetes-eval-manualv2-0494	kubernetes-eval-manualv2-0494	contribute_style_diagram-guide	What should you avoid using for diagram referrals?
kubernetes-eval-manualv2-0495	kubernetes-eval-manualv2-0495	contribute_style_diagram-guide	What file format does the Diagram Guide recommend for Mermaid+SVG and External Tool methods?
kubernetes-eval-manualv2-0496	kubernetes-eval-manualv2-0496	contribute_style_diagram-guide	What is the most important diagram tip in the Diagram Guide?
kubernetes-train-manualv2-01854	kubernetes-train-manualv2-01854	tasks_tls	What topics are grouped under the top-level TLS task page?
kubernetes-train-manualv2-02908	kubernetes-train-manualv2-02908	reference_kubectl_generated	What does the generated kubectl reference page provide?
kubernetes-train-manualv2-02914	kubernetes-train-manualv2-02914	reference_kubectl_quick-reference	What does the kubectl quick reference page contain?
kubernetes-train-manualv2-02976	kubernetes-train-manualv2-02976	tasks	What does a Kubernetes task page typically show?
kubernetes-train-manualv2-03810	kubernetes-train-manualv2-02982	tutorials	What does a Kubernetes tutorial page usually help you do?
kubernetes-train-manualv2-03811	kubernetes-train-manualv2-02984	tutorials_kubernetes-basics_deploy-app	What is the subtitle of the `Deploy an App` tutorial page?
kubernetes-train-manualv2-03812	kubernetes-train-manualv2-02985	tutorials_kubernetes-basics_explore	What is the subtitle of the `Explore Your App` tutorial page?
kubernetes-train-manualv2-03813	kubernetes-train-manualv2-02986	tutorials_kubernetes-basics_scale	What is the subtitle of the `Scale Your App` tutorial page?
kubernetes-train-manualv2-00001	kubernetes-train-manualv2-00001	concepts	What does the Concepts section help you learn about?
kubernetes-train-manualv2-00003	kubernetes-train-manualv2-00003	concepts	What does the Workloads area help you understand?
kubernetes-train-manualv2-00004	kubernetes-train-manualv2-00004	concepts	What does the Configuration area cover in the Concepts section?
kubernetes-train-manualv2-00015	kubernetes-train-manualv2-00015	concepts_cluster-administration	Who is the cluster administration overview for?
kubernetes-train-manualv2-00016	kubernetes-train-manualv2-00016	concepts_cluster-administration	What are the solutions listed in the Cluster Administration article called?
kubernetes-train-manualv2-00018	kubernetes-train-manualv2-00018	concepts_cluster-administration	Which topics are listed under securing the kubelet?
kubernetes-train-manualv2-00019	kubernetes-train-manualv2-00019	concepts_cluster-administration	What does DNS Integration describe in the Optional Cluster Services section?
kubernetes-train-manualv2-00020	kubernetes-train-manualv2-00020	concepts_cluster-administration	What does Logging and Monitoring Cluster Activity explain?
kubernetes-train-manualv2-00022	kubernetes-train-manualv2-00022	concepts_cluster-administration_addons	Does the Installing Addons page try to provide an exhaustive list of add-ons?
kubernetes-train-manualv2-00220	kubernetes-train-manualv2-00220	concepts_overview	What does the name Kubernetes mean?
kubernetes-train-manualv2-00221	kubernetes-train-manualv2-00221	concepts_overview	How is the abbreviation K8s formed?
kubernetes-train-manualv2-00222	kubernetes-train-manualv2-00222	concepts_overview	When did Google open source Kubernetes?
kubernetes-train-manualv2-01278	kubernetes-train-manualv2-01278	reference_access-authn-authz	What kinds of reference topics are grouped under Kubernetes API access control?
kubernetes-train-manualv2-01754	kubernetes-train-manualv2-01754	tasks_administer-cluster_migrating-from-dockershim	Which two follow-up tasks are highlighted on the dockershim migration overview page?
kubernetes-train-manualv2-01763	kubernetes-train-manualv2-01763	tasks_administer-cluster_manage-resources	What kinds of namespace-level controls are grouped under the ???Manage Memory, CPU, and API Resources??? page?
kubernetes-train-manualv2-01825	kubernetes-train-manualv2-01825	tasks_administer-cluster	What kinds of tasks are grouped under the ???Administer a Cluster??? section?
kubernetes-train-manualv2-01826	kubernetes-train-manualv2-01826	tasks_administer-cluster_kubeadm	What does the ???Administration with kubeadm??? section target?
kubernetes-train-manualv2-01827	kubernetes-train-manualv2-01827	tasks_administer-cluster_kubeadm	What kinds of kubeadm tasks are listed on the kubeadm administration page?
kubernetes-train-manualv2-01837	kubernetes-train-manualv2-01837	tasks_debug	What four areas does the ???Monitoring, Logging, and Debugging??? guide cover?
kubernetes-train-manualv2-01838	kubernetes-train-manualv2-01838	tasks_debug	According to the debug overview, where should you look if your Kubernetes problem is not covered by the docs?
kubernetes-train-manualv2-01839	kubernetes-train-manualv2-01839	tasks_debug_debug-application	What kinds of troubleshooting topics are grouped under the ???Troubleshooting Applications??? page?
kubernetes-train-manualv2-01852	kubernetes-train-manualv2-01852	tasks_debug_logging	What kinds of resources are linked from the ???Logging in Kubernetes??? page?
kubernetes-train-manualv2-01853	kubernetes-train-manualv2-01853	tasks_debug_monitoring	What does the ???Monitoring in Kubernetes??? page point readers to?
kubernetes-train-manualv2-01888	kubernetes-train-manualv2-01888	tasks_extend-kubernetes_custom-resources	What topics are grouped under the ???Use Custom Resources??? page?
kubernetes-train-manualv2-01921	kubernetes-train-manualv2-01921	tasks_manage-kubernetes-objects	What object management approaches are grouped under the ???Manage Kubernetes Objects??? section?
kubernetes-train-manualv2-01980	kubernetes-train-manualv2-01980	tasks_configmap-secret	What topics are grouped under the ???Managing Secrets??? page?
kubernetes-train-manualv2-02010	kubernetes-train-manualv2-02010	tutorials_stateful-application	What topics are grouped under the ???Stateful Applications??? tutorial index?
kubernetes-train-manualv2-02039	kubernetes-train-manualv2-02039	setup_best-practices	What topics are grouped under the ???Best practices??? index page?
kubernetes-train-manualv2-02070	kubernetes-train-manualv2-02070	setup_production-environment_tools	What deployment tools are explicitly listed on the ???Installing Kubernetes with deployment tools??? page?
kubernetes-train-manualv2-02110	kubernetes-train-manualv2-02110	setup_production-environment_turnkey-solutions	What is the purpose of the ???Turnkey Cloud Solutions??? page?
kubernetes-train-manualv2-02111	kubernetes-train-manualv2-02111	tutorials_security	What topics are grouped under the ???Security??? tutorial index?
kubernetes-train-manualv2-02146	kubernetes-train-manualv2-02146	tutorials_configuration	What topics are grouped under the ???Configuration??? tutorial index?
kubernetes-train-manualv2-02156	kubernetes-train-manualv2-02156	tutorials_kubernetes-basics	What does the Kubernetes basics tutorial say you will learn to do?
kubernetes-train-manualv2-02197	kubernetes-train-manualv2-02197	setup_learning-environment	Which tool does the learning environment page recommend for practicing with a more production-like cluster?
kubernetes-train-manualv2-02198	kubernetes-train-manualv2-02198	setup_learning-environment	Which online Kubernetes playground is listed on the learning environment page?
kubernetes-train-manualv2-02507	kubernetes-train-manualv2-02507	reference_kubectl_generated_kubectl_create_kubectl_create_service	Which `kubectl create service` subcommands are listed in the docs?
kubernetes-train-manualv2-02514	kubernetes-train-manualv2-02514	reference_kubectl_generated_kubectl_rollout	Which rollout subcommands are listed in the docs?
kubernetes-train-manualv2-02516	kubernetes-train-manualv2-02516	reference_kubectl_generated_kubectl_set	Which `kubectl set` subcommands are listed in the docs?
kubernetes-train-manualv2-02518	kubernetes-train-manualv2-02518	reference_kubectl_generated_kubectl_auth	Which `kubectl auth` subcommands are listed in the docs?
kubernetes-train-manualv2-02659	kubernetes-train-manualv2-02659	reference_setup-tools_kubeadm_generated_kubeadm_upgrade_kubeadm_upgrade_node	Which phases does `kubeadm upgrade node` list?
kubernetes-train-manualv2-02839	kubernetes-train-manualv2-02839	reference_kubernetes-api_other-resources_mutating-admission-policy-binding-list-v1beta1	What does the remaining other-resources page define?
